DIA_file	individual_id	directory
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample226.raw	F99	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample285.raw	F98	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample291.raw	F97	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample288.raw	F96	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample281.raw	F95	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample104.raw	F94	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample279.raw	F93	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML277.raw	F92	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample276.raw	F91	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample274.raw	F90	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample130.raw	F9	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample273.raw	F89	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200326_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_AML385.raw	F85	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML376.raw	F84	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML378.raw	F83	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML379.raw	F81	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML377.raw	F80	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample329.raw	F8	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample315.raw	F79	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample269.raw	F78	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample268.raw	F77	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample264.raw	F76	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample262.raw	F75	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample374.raw	F73	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample350.raw	F72	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample319.raw	F71	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample199.raw	F70	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample138.raw	F7	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample327.raw	F69	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample318.raw	F68	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample368.raw	F67	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
