individual_id	directory	DIA_file
H1	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H1.raw
H2	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H2.raw
HD3	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_HD3.raw
HD4	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_HD4.raw
H5	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H5.raw
HD6	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_HD6.raw
H7	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H7.raw
H8	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H8.raw
H9	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H9.raw
H10	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H10.raw
H11	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H11.raw
H12	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H12.raw
H13	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD028007	[1] 20210617_EXPL2_AsJa_SA_Revision_Healthy_DIAproteome_CD34cells_H13.raw
