ID,NAME,URI,TYPE,MAPPINGS,Sample ID,Cohort,Proteomics data set,RNA available,comment
169,20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample226.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample226.raw,RAW,-,F99,Discovery,PXD023201,F99,
168,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample285.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample285.raw,RAW,-,F98,Discovery,PXD023201,F98,
167,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample291.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample291.raw,RAW,-,F97,Discovery,PXD023201,F97,
166,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample288.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample288.raw,RAW,-,F96,Discovery,PXD023201,F96,
165,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample281.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample281.raw,RAW,-,F95,Discovery,PXD023201,F95,
170,20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample104.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample104.raw,RAW,-,F94,Discovery,PXD023201,F94,raw file annotation unclear
237,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample279.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample279.raw,RAW,-,F93,Discovery,PXD023201,F93,raw file annotation unclear
164,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML277.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML277.raw,RAW,-,F92,Discovery,PXD023201,F92,
163,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample276.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample276.raw,RAW,-,F91,Discovery,PXD023201,F91,
162,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample274.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample274.raw,RAW,-,F90,Discovery,PXD023201,F90,
161,20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample130.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample130.raw,RAW,-,F9,Discovery,PXD023201,F9,
160,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample273.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample273.raw,RAW,-,F89,Discovery,PXD023201,F89,
156,20200326_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_AML385.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200326_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_AML385.raw,RAW,-,F85,Discovery,PXD023201,F85,
155,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML376.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML376.raw,RAW,-,F84,Discovery,PXD023201,F84,
154,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML378.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML378.raw,RAW,-,F83,Discovery,PXD023201,F83,
152,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML379.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML379.raw,RAW,-,F81,Discovery,PXD023201,F81,
151,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML377.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML377.raw,RAW,-,F80,Discovery,PXD023201,F80,
150,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample329.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample329.raw,RAW,-,F8,Discovery,PXD023201,F8,
149,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample315.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample315.raw,RAW,-,F79,Discovery,PXD023201,F79,
148,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample269.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample269.raw,RAW,-,F78,Discovery,PXD023201,F78,
147,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample268.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample268.raw,RAW,-,F77,Discovery,PXD023201,F77,
146,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample264.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample264.raw,RAW,-,F76,Discovery,PXD023201,F76,
145,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample262.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample262.raw,RAW,-,F75,Discovery,PXD023201,F75,
143,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample374.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample374.raw,RAW,-,F73,Discovery,PXD023201,F73,
142,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample350.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample350.raw,RAW,-,F72,Discovery,PXD023201,F72,
141,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample319.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample319.raw,RAW,-,F71,Discovery,PXD023201,F71,
140,20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample199.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample199.raw,RAW,-,F70,Discovery,PXD023201,F70,
139,20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample138.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample138.raw,RAW,-,F7,Discovery,PXD023201,F7,
138,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample327.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample327.raw,RAW,-,F69,Discovery,PXD023201,F69,
137,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample318.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample318.raw,RAW,-,F68,Discovery,PXD023201,F68,
136,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample368.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample368.raw,RAW,-,F67,Discovery,PXD023201,F67,
135,20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML208.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_AML208.raw,RAW,-,F66,Discovery,PXD023201,F66,gtf file permissive NA for header annotation
134,20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample102.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample102.raw,RAW,-,F65,Discovery,PXD023201,F65,
132,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample361.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample361.raw,RAW,-,F63,Discovery,PXD023201,F63,
131,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample362.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample362.raw,RAW,-,F62,Discovery,PXD023201,F62,
130,20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample354.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample354.raw,RAW,-,F61,Discovery,PXD023201,F61,
129,20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample219.raw,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/03/PXD023201/20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample219.raw,RAW,-,F60,Discovery,PXD023201,F60,
