individual_id	directory	DIA_file
F1	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[244] 20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample343.raw
F10	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[215] 20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample314.raw
F100	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[190] 20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample289.raw
F101	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[6] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample105.raw
F103	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[2] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample101.raw
F104	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[7] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample106.raw
F105	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[8] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample107.raw
F106	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[29] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample133.raw
F107	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[98] 20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample197.raw
F108	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[9] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample108.raw
F109	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[132] 20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample231.raw
F110	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[10] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample109.raw
F111	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[39] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample144.raw
F112	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[14] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample113.raw
